,rt,trial_index,subject,form_assignment,passed_test,button_pressed,condition,stimNum,topic,speaker,form,response,correct,already_heard_by_speaker,numeric_response,Order
173,1872,112,0kqub3d84k,conventional,yes,1,Non-Request,10,spanish,S2,conventional,literal,1,Yes,0,53
174,506,114,0kqub3d84k,conventional,yes,0,Request,8,piano,S2,conventional,request,1,Yes,1,54
175,498,116,0kqub3d84k,conventional,yes,0,Request,12,temperature,S2,conventional,request,1,Yes,1,55
176,361,118,0kqub3d84k,conventional,yes,0,Non-Request,11,window,S2,conventional,request,0,No,1,56
177,986,120,0kqub3d84k,conventional,yes,0,Request,3,box,S2,conventional,request,1,No,1,57
178,325,122,0kqub3d84k,conventional,yes,0,Request,11,window,S2,conventional,request,1,Yes,1,58
179,1068,124,0kqub3d84k,conventional,yes,1,Non-Request,3,box,S2,conventional,literal,1,Yes,0,59
180,1383,126,0kqub3d84k,conventional,yes,0,Request,4,door,S2,conventional,request,1,Yes,1,60
181,847,8,1cfe8c7hf0,conventional,yes,0,Request,10,spanish,S5,conventional,request,1,No,1,1
182,9467,10,1cfe8c7hf0,conventional,yes,0,Non-Request,8,piano,S5,conventional,request,0,No,1,2
183,1315,12,1cfe8c7hf0,conventional,yes,0,Non-Request,4,door,S5,conventional,request,0,No,1,3
184,635,14,1cfe8c7hf0,conventional,yes,0,Request,3,box,S5,conventional,request,1,No,1,4
185,747,16,1cfe8c7hf0,conventional,yes,0,Non-Request,10,spanish,S5,conventional,request,0,Yes,1,5
186,408,18,1cfe8c7hf0,conventional,yes,0,Non-Request,3,box,S5,conventional,request,0,Yes,1,6
187,378,20,1cfe8c7hf0,conventional,yes,0,Request,11,window,S5,conventional,request,1,No,1,7
188,1201,22,1cfe8c7hf0,conventional,yes,0,Non-Request,11,window,S5,conventional,request,0,Yes,1,8
189,487,24,1cfe8c7hf0,conventional,yes,0,Request,4,door,S5,conventional,request,1,Yes,1,9
190,1008,26,1cfe8c7hf0,conventional,yes,1,Request,8,piano,S5,conventional,literal,0,Yes,0,10
191,846,28,1cfe8c7hf0,conventional,yes,0,Request,12,temperature,S5,conventional,request,1,No,1,11
192,3149,30,1cfe8c7hf0,conventional,yes,1,Non-Request,12,temperature,S5,conventional,literal,1,Yes,0,12
193,1644,32,1cfe8c7hf0,conventional,yes,1,Request,4,door,S3,conventional,literal,0,No,0,13
194,819,34,1cfe8c7hf0,conventional,yes,1,Non-Request,12,temperature,S3,conventional,literal,1,No,0,14
195,821,36,1cfe8c7hf0,conventional,yes,0,Request,12,temperature,S3,conventional,request,1,Yes,1,15
196,807,38,1cfe8c7hf0,conventional,yes,1,Non-Request,3,box,S3,conventional,literal,1,No,0,16
197,467,40,1cfe8c7hf0,conventional,yes,0,Request,3,box,S3,conventional,request,1,Yes,1,17
198,6526,42,1cfe8c7hf0,conventional,yes,1,Non-Request,8,piano,S3,conventional,literal,1,No,0,18
199,1336,44,1cfe8c7hf0,conventional,yes,1,Request,8,piano,S3,conventional,literal,0,Yes,0,19
200,1060,46,1cfe8c7hf0,conventional,yes,1,Non-Request,4,door,S3,conventional,literal,1,Yes,0,20
201,1341,48,1cfe8c7hf0,conventional,yes,1,Non-Request,10,spanish,S3,conventional,literal,1,No,0,21
202,551,50,1cfe8c7hf0,conventional,yes,0,Request,10,spanish,S3,conventional,request,1,Yes,1,22
203,691,52,1cfe8c7hf0,conventional,yes,1,Non-Request,11,window,S3,conventional,literal,1,No,0,23
204,493,54,1cfe8c7hf0,conventional,yes,0,Request,11,window,S3,conventional,request,1,Yes,1,24
205,437,56,1cfe8c7hf0,conventional,yes,0,Request,4,door,S2,conventional,request,1,No,1,25
206,393,58,1cfe8c7hf0,conventional,yes,0,Non-Request,4,door,S2,conventional,request,0,Yes,1,26
207,1342,60,1cfe8c7hf0,conventional,yes,1,Request,3,box,S2,conventional,literal,0,No,0,27
208,452,62,1cfe8c7hf0,conventional,yes,0,Request,10,spanish,S2,conventional,request,1,No,1,28
209,1782,64,1cfe8c7hf0,conventional,yes,0,Request,12,temperature,S2,conventional,request,1,No,1,29
210,772,66,1cfe8c7hf0,conventional,yes,0,Non-Request,3,box,S2,conventional,request,0,Yes,1,30
