,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,passed_test,stimulus,type,button_pressed,answer,stimNum,topic,speaker,form,response,correct,Gender,Native_Speaker,Music_Ability,Age,Mobile
26,8277,audio-button-response,26,272708,0.0-8.0-7.0,13725,group1,yes,prosody_paired_samples/MaiyiY/IR_literal_Spanish.wav,,0,first,10,spanish,Maiyi,modal,first,1,Male,Yes,4,31,No
27,10788,audio-button-response,27,283501,0.0-8.0-8.0,13725,group1,yes,prosody_paired_samples/MaiyiY/IR_literal_box.wav,,0,first,3,box,Maiyi,modal,first,1,Male,Yes,4,31,No
28,10735,audio-button-response,28,294238,0.0-8.0-9.0,13725,group1,yes,prosody_paired_samples/MaiyiY/IR_literal_back.wav,,0,first,2,back,Maiyi,indirect,first,1,Male,Yes,4,31,No
29,8973,audio-button-response,29,303212,0.0-8.0-10.0,13725,group1,yes,prosody_paired_samples/MaiyiY/IR_literal_phone.wav,,1,first,7,phone,Maiyi,indirect,second,0,Male,Yes,4,31,No
30,9215,audio-button-response,30,312429,0.0-8.0-11.0,13725,group1,yes,prosody_paired_samples/MaiyiY/literal_IR_soup.wav,,0,second,9,soup,Maiyi,indirect,first,0,Male,Yes,4,31,No
31,7267,audio-button-response,31,319700,0.0-9.0-0.0,13725,group1,yes,prosody_paired_samples/KarenL/literal_IR_soup.wav,,0,second,9,soup,Karen,indirect,first,0,Male,Yes,4,31,No
32,12128,audio-button-response,32,331833,0.0-9.0-1.0,13725,group1,yes,prosody_paired_samples/KarenL/literal_IR_door.wav,,1,second,4,door,Karen,modal,second,1,Male,Yes,4,31,No
33,10863,audio-button-response,33,342698,0.0-9.0-2.0,13725,group1,yes,prosody_paired_samples/KarenL/IR_literal_temp.wav,,0,first,12,temperature,Karen,modal,first,1,Male,Yes,4,31,No
34,8020,audio-button-response,34,350720,0.0-9.0-3.0,13725,group1,yes,prosody_paired_samples/KarenL/IR_literal_piano.wav,,0,first,8,piano,Karen,modal,first,1,Male,Yes,4,31,No
35,7016,audio-button-response,35,357742,0.0-9.0-4.0,13725,group1,yes,prosody_paired_samples/KarenL/literal_IR_car.wav,,1,second,1,car,Karen,indirect,second,1,Male,Yes,4,31,No
36,9273,audio-button-response,36,367018,0.0-9.0-5.0,13725,group1,yes,prosody_paired_samples/KarenL/IR_literal_office.wav,,0,first,6,office,Karen,indirect,first,1,Male,Yes,4,31,No
37,7775,audio-button-response,37,374796,0.0-9.0-6.0,13725,group1,yes,prosody_paired_samples/KarenL/literal_IR_back.wav,,0,second,2,back,Karen,indirect,first,0,Male,Yes,4,31,No
38,6922,audio-button-response,38,381719,0.0-9.0-7.0,13725,group1,yes,prosody_paired_samples/KarenL/IR_literal_box.wav,,0,first,3,box,Karen,modal,first,1,Male,Yes,4,31,No
39,6594,audio-button-response,39,388315,0.0-9.0-8.0,13725,group1,yes,prosody_paired_samples/KarenL/IR_literal_Spanish.wav,,0,first,10,spanish,Karen,modal,first,1,Male,Yes,4,31,No
40,8085,audio-button-response,40,396402,0.0-9.0-9.0,13725,group1,yes,prosody_paired_samples/KarenL/IR_literal_phone.wav,,0,first,7,phone,Karen,indirect,first,1,Male,Yes,4,31,No
41,6168,audio-button-response,41,402572,0.0-9.0-10.0,13725,group1,yes,prosody_paired_samples/KarenL/literal_IR_laptop.wav,,0,second,5,laptop,Karen,indirect,first,0,Male,Yes,4,31,No
42,6121,audio-button-response,42,408695,0.0-9.0-11.0,13725,group1,yes,prosody_paired_samples/KarenL/literal_IR_window.wav,,0,second,11,window,Karen,modal,first,0,Male,Yes,4,31,No
43,6116,audio-button-response,43,414813,0.0-10.0-0.0,13725,group1,yes,prosody_paired_samples/DannyK/IR_literal_phone.wav,,0,first,7,phone,Danny,indirect,first,1,Male,Yes,4,31,No
44,18806,audio-button-response,44,433621,0.0-10.0-1.0,13725,group1,yes,prosody_paired_samples/DannyK/literal_IR_back.wav,,1,second,2,back,Danny,indirect,second,1,Male,Yes,4,31,No
45,8122,audio-button-response,45,441746,0.0-10.0-2.0,13725,group1,yes,prosody_paired_samples/DannyK/literal_IR_office.wav,,0,second,6,office,Danny,indirect,first,0,Male,Yes,4,31,No
46,15614,audio-button-response,46,457361,0.0-10.0-3.0,13725,group1,yes,prosody_paired_samples/DannyK/IR_literal_soup.wav,,0,first,9,soup,Danny,indirect,first,1,Male,Yes,4,31,No
47,17867,audio-button-response,47,475230,0.0-10.0-4.0,13725,group1,yes,prosody_paired_samples/DannyK/literal_IR_door.wav,,1,second,4,door,Danny,modal,second,1,Male,Yes,4,31,No
48,11218,audio-button-response,48,486450,0.0-10.0-5.0,13725,group1,yes,prosody_paired_samples/DannyK/IR_literal_Spanish.wav,,1,first,10,spanish,Danny,modal,second,0,Male,Yes,4,31,No
49,7128,audio-button-response,49,493580,0.0-10.0-6.0,13725,group1,yes,prosody_paired_samples/DannyK/literal_IR_piano.wav,,1,second,8,piano,Danny,modal,second,1,Male,Yes,4,31,No
50,7337,audio-button-response,50,500919,0.0-10.0-7.0,13725,group1,yes,prosody_paired_samples/DannyK/IR_literal_laptop.wav,,1,first,5,laptop,Danny,indirect,second,0,Male,Yes,4,31,No
51,10899,audio-button-response,51,511821,0.0-10.0-8.0,13725,group1,yes,prosody_paired_samples/DannyK/IR_literal_temp.wav,,1,first,12,temperature,Danny,modal,second,0,Male,Yes,4,31,No
52,5781,audio-button-response,52,517604,0.0-10.0-9.0,13725,group1,yes,prosody_paired_samples/DannyK/IR_literal_box.wav,,0,first,3,box,Danny,modal,first,1,Male,Yes,4,31,No
53,7062,audio-button-response,53,524669,0.0-10.0-10.0,13725,group1,yes,prosody_paired_samples/DannyK/literal_IR_window.wav,,1,second,11,window,Danny,modal,second,1,Male,Yes,4,31,No
54,6690,audio-button-response,54,531360,0.0-10.0-11.0,13725,group1,yes,prosody_paired_samples/DannyK/literal_IR_car.wav,,1,second,1,car,Danny,indirect,second,1,Male,Yes,4,31,No
55,7446,audio-button-response,55,538812,0.0-11.0-0.0,13725,group1,yes,prosody_paired_samples/NimishP/IR_Literal_back.wav,,0,first,2,back,Nimish,indirect,first,1,Male,Yes,4,31,No
56,6518,audio-button-response,56,545334,0.0-11.0-1.0,13725,group1,yes,prosody_paired_samples/NimishP/Literal_IR_car.wav,,1,second,1,car,Nimish,indirect,second,1,Male,Yes,4,31,No
57,5584,audio-button-response,57,550921,0.0-11.0-2.0,13725,group1,yes,prosody_paired_samples/NimishP/Literal_IR_door.wav,,1,second,4,door,Nimish,modal,second,1,Male,Yes,4,31,No
58,6578,audio-button-response,58,557501,0.0-11.0-3.0,13725,group1,yes,prosody_paired_samples/NimishP/Literal_IR_soup.wav,,1,second,9,soup,Nimish,indirect,second,1,Male,Yes,4,31,No
59,8325,audio-button-response,59,565828,0.0-11.0-4.0,13725,group1,yes,prosody_paired_samples/NimishP/IR_Literal_box.wav,,0,first,3,box,Nimish,modal,first,1,Male,Yes,4,31,No
60,6543,audio-button-response,60,572374,0.0-11.0-5.0,13725,group1,yes,prosody_paired_samples/NimishP/IR_Literal_office.wav,,0,first,6,office,Nimish,indirect,first,1,Male,Yes,4,31,No
61,8637,audio-button-response,61,581016,0.0-11.0-6.0,13725,group1,yes,prosody_paired_samples/NimishP/Literal_IR_Spanish.wav,,0,second,10,spanish,Nimish,modal,first,0,Male,Yes,4,31,No
62,6365,audio-button-response,62,587384,0.0-11.0-7.0,13725,group1,yes,prosody_paired_samples/NimishP/Literal_IR_temp.wav,,1,second,12,temperature,Nimish,modal,second,1,Male,Yes,4,31,No
63,9574,audio-button-response,63,596959,0.0-11.0-8.0,13725,group1,yes,prosody_paired_samples/NimishP/IR_Literal_piano.wav,,0,first,8,piano,Nimish,modal,first,1,Male,Yes,4,31,No
64,5831,audio-button-response,64,602792,0.0-11.0-9.0,13725,group1,yes,prosody_paired_samples/NimishP/IR_Literal_phone.wav,,0,first,7,phone,Nimish,indirect,first,1,Male,Yes,4,31,No
65,6934,audio-button-response,65,609729,0.0-11.0-10.0,13725,group1,yes,prosody_paired_samples/NimishP/Literal_IR_laptop.wav,,1,second,5,laptop,Nimish,indirect,second,1,Male,Yes,4,31,No
66,7777,audio-button-response,66,617507,0.0-11.0-11.0,13725,group1,yes,prosody_paired_samples/NimishP/IR_Literal_window.wav,,0,first,11,window,Nimish,modal,first,1,Male,Yes,4,31,No
67,15220,survey-text,67,632730,0.0-12.0,13725,group1,yes,,debrief,,,,,,,,0,Male,Yes,4,31,No
